Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-11-22,7:00p,Denver Nuggets,119.0,Orlando Magic,124.0
2023-11-22,7:30p,Brooklyn Nets,145.0,Atlanta Hawks,147.0
2023-11-22,7:30p,Milwaukee Bucks,116.0,Boston Celtics,119.0
2023-11-22,7:30p,Miami Heat,129.0,Cleveland Cavaliers,96.0
2023-11-22,7:30p,Toronto Raptors,132.0,Indiana Pacers,131.0
2023-11-22,8:00p,Memphis Grizzlies,91.0,Houston Rockets,111.0
2023-11-22,8:00p,Philadelphia 76ers,99.0,Minnesota Timberwolves,112.0
2023-11-22,8:00p,Sacramento Kings,112.0,New Orleans Pelicans,117.0
2023-11-22,8:00p,Chicago Bulls,102.0,Oklahoma City Thunder,116.0
2023-11-22,8:00p,Los Angeles Clippers,109.0,San Antonio Spurs,102.0
2023-11-22,10:00p,Golden State Warriors,115.0,Phoenix Suns,123.0
2023-11-22,10:00p,Utah Jazz,105.0,Portland Trail Blazers,121.0
2023-11-22,10:30p,Dallas Mavericks,104.0,Los Angeles Lakers,101.0
2023-11-24,2:30p,Boston Celtics,96.0,Orlando Magic,113.0
2023-11-24,5:00p,Phoenix Suns,110.0,Memphis Grizzlies,89.0
2023-11-24,7:30p,Miami Heat,98.0,New York Knicks,100.0
2023-11-24,7:30p,Chicago Bulls,108.0,Toronto Raptors,121.0
2023-11-24,8:00p,Denver Nuggets,86.0,Houston Rockets,105.0
2023-11-24,8:00p,Detroit Pistons,113.0,Indiana Pacers,136.0
2023-11-24,8:00p,Washington Wizards,128.0,Milwaukee Bucks,131.0
2023-11-24,8:00p,Sacramento Kings,124.0,Minnesota Timberwolves,111.0
2023-11-24,10:00p,San Antonio Spurs,112.0,Golden State Warriors,118.0
2023-11-24,10:30p,New Orleans Pelicans,116.0,Los Angeles Clippers,106.0
2023-11-25,5:00p,Philadelphia 76ers,127.0,Oklahoma City Thunder,123.0
2023-11-25,6:00p,Miami Heat,97.0,Brooklyn Nets,112.0
2023-11-25,7:00p,Atlanta Hawks,136.0,Washington Wizards,108.0
2023-11-25,7:30p,Los Angeles Lakers,121.0,Cleveland Cavaliers,115.0
2023-11-25,9:30p,New Orleans Pelicans,100.0,Utah Jazz,105.0
2023-11-25,10:30p,Dallas Mavericks,88.0,Los Angeles Clippers,107.0
2023-11-26,3:30p,Portland Trail Blazers,102.0,Milwaukee Bucks,108.0
2023-11-26,6:00p,Atlanta Hawks,103.0,Boston Celtics,113.0
2023-11-26,6:00p,Minnesota Timberwolves,119.0,Memphis Grizzlies,97.0
2023-11-26,6:00p,Phoenix Suns,116.0,New York Knicks,113.0
2023-11-26,6:00p,Charlotte Hornets,117.0,Orlando Magic,130.0
2023-11-26,7:30p,Chicago Bulls,109.0,Brooklyn Nets,118.0
2023-11-26,7:30p,Toronto Raptors,102.0,Cleveland Cavaliers,105.0
2023-11-26,8:00p,San Antonio Spurs,120.0,Denver Nuggets,132.0
2023-11-27,7:00p,Washington Wizards,126.0,Detroit Pistons,107.0
2023-11-27,7:00p,Portland Trail Blazers,114.0,Indiana Pacers,110.0
2023-11-27,7:00p,Los Angeles Lakers,94.0,Philadelphia 76ers,138.0
2023-11-27,9:00p,New Orleans Pelicans,112.0,Utah Jazz,114.0
2023-11-27,10:30p,Denver Nuggets,113.0,Los Angeles Clippers,104.0
2023-11-28,7:30p,Chicago Bulls,97.0,Boston Celtics,124.0
2023-11-28,7:30p,Toronto Raptors,103.0,Brooklyn Nets,115.0
2023-11-28,7:30p,Atlanta Hawks,105.0,Cleveland Cavaliers,128.0
2023-11-28,7:30p,Milwaukee Bucks,131.0,Miami Heat,124.0
2023-11-28,7:30p,Charlotte Hornets,91.0,New York Knicks,115.0
2023-11-28,8:00p,Oklahoma City Thunder,103.0,Minnesota Timberwolves,106.0
2023-11-28,8:30p,Houston Rockets,115.0,Dallas Mavericks,121.0
2023-11-28,10:00p,Golden State Warriors,123.0,Sacramento Kings,124.0
2023-11-29,7:00p,Los Angeles Lakers,133.0,Detroit Pistons,107.0
2023-11-29,7:00p,Washington Wizards,120.0,Orlando Magic,139.0
2023-11-29,7:30p,Phoenix Suns,105.0,Toronto Raptors,112.0
2023-11-29,8:00p,Utah Jazz,91.0,Memphis Grizzlies,105.0
2023-11-29,8:00p,Philadelphia 76ers,114.0,New Orleans Pelicans,124.0
2023-11-29,9:00p,Houston Rockets,124.0,Denver Nuggets,134.0
2023-11-29,10:00p,Los Angeles Clippers,131.0,Sacramento Kings,117.0
2023-11-30,7:00p,Portland Trail Blazers,103.0,Cleveland Cavaliers,95.0
2023-11-30,7:30p,Charlotte Hornets,129.0,Brooklyn Nets,128.0
2023-11-30,7:30p,Indiana Pacers,132.0,Miami Heat,142.0
2023-11-30,7:30p,Detroit Pistons,112.0,New York Knicks,118.0
2023-11-30,8:00p,Milwaukee Bucks,113.0,Chicago Bulls,120.0
2023-11-30,8:00p,Utah Jazz,90.0,Minnesota Timberwolves,101.0
2023-11-30,8:00p,Los Angeles Lakers,110.0,Oklahoma City Thunder,133.0
2023-11-30,8:00p,Atlanta Hawks,137.0,San Antonio Spurs,135.0
2023-11-30,10:00p,Los Angeles Clippers,114.0,Golden State Warriors,120.0
2023-12-01,7:00p,Washington Wizards,125.0,Orlando Magic,130.0
2023-12-01,7:30p,Philadelphia 76ers,119.0,Boston Celtics,125.0
2023-12-01,7:30p,Memphis Grizzlies,108.0,Dallas Mavericks,94.0
2023-12-01,7:30p,New York Knicks,119.0,Toronto Raptors,106.0
2023-12-01,8:00p,San Antonio Spurs,106.0,New Orleans Pelicans,121.0
2023-12-01,10:00p,Denver Nuggets,119.0,Phoenix Suns,111.0
2023-12-02,4:00p,Golden State Warriors,112.0,Los Angeles Clippers,113.0
2023-12-02,5:00p,Minnesota Timberwolves,123.0,Charlotte Hornets,117.0
2023-12-02,7:00p,Orlando Magic,101.0,Brooklyn Nets,129.0
2023-12-02,7:00p,Cleveland Cavaliers,110.0,Detroit Pistons,101.0
